source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
CZBIL,SANIMA,0.97994487494966,0.97994487494966,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
SBI,SCB,0.9711059255631418,0.9711059255631418,positive,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
EBL,SBI,0.9673198436765706,0.9673198436765706,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
EBL,SCB,0.9580399206823362,0.9580399206823362,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
GBIME,PCBL,0.9428093777228108,0.9428093777228108,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
GBIME,NABIL,0.934216944259162,0.934216944259162,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
HBL,SBI,0.9328852372102008,0.9328852372102008,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
CZBIL,NABIL,0.9304075378451598,0.9304075378451598,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
NABIL,PCBL,0.930356417397214,0.930356417397214,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
HBL,SCB,0.9265727783205068,0.9265727783205068,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
CZBIL,SBI,0.9250912234430334,0.9250912234430334,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
CZBIL,EBL,0.924384104257061,0.924384104257061,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984
MBL,SBL,0.9232727314313632,0.9232727314313632,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
CZBIL,MBL,0.9231893284588532,0.9231893284588532,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
EBL,HBL,0.9215493074634736,0.9215493074634736,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225
