S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
8,Nepal SBI Bank Ltd.,2078(03),14442,18152,11.09,13.93,106217,104242,101578,91129,74.98,24.97,24.63,7.37,3.18,0.23,,24.96,59817
9,Nepal Bangladesh Bank Ltd.,2078(03),14272,17447,11.4,13.94,89383,88790,71202,70342,69.76,39.25,27.76,7.34,3.55,1.55,,32.46,35919
10,Everest Bank Ltd.,2078(03),17196,19095,11.26,12.51,160899,158878,134954,127780,73.44,42.69,25.26,5.99,3.24,0.12,,17.55,94293
11,Bank of Kathmandu Ltd.,2078(03),14485,17311,11.73,14.02,104324,103222,98888,93856,80.03,28.36,23.03,7.44,3.03,2.51,,26.38,53759
12,Nepal Credit and Commerce Bank Ltd.,2078(03),13560,18077,10.35,13.8,110773,109251,99907,96969,79.41,23.52,19.6,7.57,3.76,1.78,,21.75,47807
13,NIC Asia Bank Ltd.,2078(03),18510,30575,7.51,12.41,300252,297773,264840,264832,81.96,20.64,17.27,6.84,3.73,0.46,,24.83,152652
14,Machhapuchhre Bank Ltd.,2078(03),11979,16629,8.64,12,134486,129501,116373,110752,80.08,27.22,20.4,7.26,3.82,0.62,,26.39,81384
15,Kumari Bank Ltd.,2078(03),17189,22355,10.53,13.69,157178,151918,143772,133963,81.35,23.25,21.42,7.9,3.13,1.08,,26.67,78842
16,Laxmi Bank Ltd.,2078(03),13211,16880,9.27,11.85,117013,113043,108655,102334,79.63,22.4,13.8,7.04,3.42,1.21,,21.58,73516
17,Siddharth Bank Ltd.,2078(03),16600,26094,8.56,13.45,185197,182356,165679,159612,80.12,25.46,22.29,7.16,3.7,1.16,,29.65,101305
18,GlobalIME Bank Ltd.,2078(03),29352,36731,10.52,13.17,283349,280110,242505,229754,76.41,29.89,25.08,6.6,3.49,1.42,,26.49,162299
19,Citizens Bank International Ltd.,2078(03),16833,20805,11.24,13.89,143003,140503,123642,123642,77.53,26.36,22.17,7.55,3.59,2.77,,32.69,82291
20,Prime Commercial Bank Ltd.,2078(03),22800,27352,12.58,15.1,160190,158290,142983,141792,79.6,25.12,19.5,7.22,4.09,1.45,,27,68514
21,Sunrise Bank Ltd.,2078(03),13101,18398,9.79,13.75,110181,107328,103375,100585,81.31,24.74,21.74,6.74,4.03,1.38,,30.65,67502
22,NMB Bank Ltd.,2078(03),22242,29445,11.4,15.09,166454,161956,158044,151608,79.86,27.52,17.08,7.33,3.09,2.27,,30.39,94933
23,Prabhu Bank Ltd.,2078(03),14990,22635,8.66,13.07,169727,167029,142257,142257,76.55,27.77,21.99,6.88,3.65,1.68,,22.53,94738
24,Mega Bank Nepal Ltd.,2078(03),19228,21153,11.8,12.98,145288,138835,141118,135027,82.68,22.54,13.77,7.53,4.16,1.27,,27.88,81528
25,Civil Bank Ltd.,2078(03),10091,11199,10.75,11.93,90345,87662,83038,78998,81.19,22.31,19.08,7.83,2.52,1.05,,27.9,38629
26,Century Commercial Bank Ltd.,2078(03),10472,11558,11.18,12.34,96997,96828,81389,80769,79.34,27.68,21.64,7.8,3.26,1.95,,24.76,43694
27,Sanima Bank Ltd.,2078(03),13266,19488,9.21,13.54,130882,126929,122693,118152,82.43,22.15,18.29,6.34,3.73,0.16,,26.92,82191
,Sub Total,2078(03),410430,527195,10.52,13.51,3611578,3490689,3224450,3079106,78.78,26.74,20.81,6.98,3.52,1.25,,26.02,1937153
,Grand Total,2078(03),488567,632621,10.92,14.14,4204016,4082298,3716941,3571551,77.88,27.77,21.97,6.88,3.61,1.4,,29.29,2297519
1,Nepal Bank Ltd.,2078(06),23246,28772,13.27,16.42,173610,173058,157591,157589,85.4,22.78,22.2,6.26,3.69,2,,55.41,121540
2,Rastriya Banijya Bank Ltd.,2078(06),25617,31217,11.62,14.16,242513,242250,206649,206140,84.7,29.65,28.52,5.63,3.99,3.01,,39.05,167517
3,Agriculture Dev. Bank Ltd.,2078(06),29083,33994,13.41,15.67,153412,152562,165526,165526,91.86,23.61,23.8,7.12,4.36,2.09,,77.23,97352
,Sub Total,2078(06),77946,93984,12.72,15.34,569535,567871,529766,529255,87.04,25.93,25.33,6.33,4.01,2.42,,55.25,386409
4,Nabil Bank Ltd.,2078(06),28050,35645,10.69,13.58,231141,216712,214169,200598,89.53,23.16,19.74,6.8,3.18,1.13,,26.84,117962
5,Nepal Investment Bank Ltd.,2078(06),26850,35769,10.9,14.52,172720,163218,173615,156950,95.59,25.65,17.89,6.77,2.59,2.27,,23.61,99074
6,Standard Chartered Bank Nepal Ltd.,2078(06),15458,17197,14.46,16.09,94021,75220,83774,76695,83.52,28.03,17.93,5.18,4.04,0.67,,18.46,51036
7,Himalayan Bank Ltd.,2078(06),19153,23430,10.37,12.69,150898,133716,145822,129973,91.68,19.15,19.03,7.73,2.64,0.58,,25.55,83625
8,Nepal SBI Bank Ltd.,2078(06),14631,18491,10.39,13.13,108728,106686,109797,98638,94.5,18.35,22.36,8.11,3.09,0.17,,24.28,61208
9,Nepal Bangladesh Bank Ltd.,2078(06),14641,17893,11.41,13.94,80142,79544,74528,73618,88.25,29.15,24.48,7.92,2.84,1.71,,32.18,35918
10,Everest Bank Ltd.,2078(06),17941,19932,11.26,12.51,164481,159343,143942,137509,86.61,29.84,24.61,7,2.61,0.13,,23.96,99955
11,Bank of Kathmandu Ltd.,2078(06),14728,17644,11.18,13.4,104355,100864,104649,100197,92.83,23.37,19.13,8.56,2.89,1.72,,26.86,55973
12,Nepal Credit and Commerce Bank Ltd.,2078(06),13605,18255,9.33,12.51,122199,118332,114300,110487,90.14,22.45,16.02,8.12,3.33,1.48,,27.06,50200
13,NIC Asia Bank Ltd.,2078(06),19410,32506,7.3,12.23,311437,294082,277847,277839,87.32,20.1,10.69,7.48,4.08,0.49,,23.99,156470
14,Machhapuchhre Bank Ltd.,2078(06),12311,19353,8.05,12.65,134652,127241,128418,123119,87.78,19.62,15.52,7.63,3.38,0.5,,26.63,83202
15,Kumari Bank Ltd.,2078(06),17341,22716,9.27,12.14,166344,161009,157617,148267,92.13,18.8,18.69,7.88,2.71,0.82,,25.15,84420
16,Laxmi Bank Ltd.,2078(06),13770,19627,9.03,12.87,120665,115362,117351,112837,91.85,19.11,12.02,7.56,3,0.49,,21.39,78822
17,Siddharth Bank Ltd.,2078(06),17681,27093,8.51,13.05,192201,184647,180859,174182,87.99,21.15,18.15,7.57,3.47,0.54,,28.18,108138
18,GlobalIME Bank Ltd.,2078(06),30092,38397,9.91,12.65,277047,273757,265713,250196,88.31,21.13,20.62,7.41,2.81,1.62,,29.49,166173
19,Citizens Bank International Ltd.,2078(06),17058,21074,10.51,12.99,145610,142806,132755,132755,87.62,21.48,20.42,7.8,3.53,1.91,,28.1,87832
20,Prime Commercial Bank Ltd.,2078(06),23336,28142,12.08,14.56,164667,162793,150809,149630,90.2,21.57,18.15,8.27,3.08,0.62,,26.35,71896
21,Sunrise Bank Ltd.,2078(06),13280,18627,9.02,12.65,132094,129900,118653,114828,84.24,26.03,22.78,8.4,2.46,1.13,,34.85,81696
22,NMB Bank Ltd.,2078(06),23132,30506,10.98,14.48,175666,170202,172819,165448,91.55,22.16,15.02,7.96,3.02,1.85,,32.53,103355
23,Prabhu Bank Ltd.,2078(06),15421,23105,8.63,12.92,168345,166492,145922,145922,81.22,24.76,21.75,7.63,3.38,1.61,,21.46,96887
24,Mega Bank Nepal Ltd.,2078(06),19770,21759,11.59,12.76,148276,143561,144934,140463,91.93,21.34,13.27,9.81,3.48,0.89,,27.11,87983
25,Civil Bank Ltd.,2078(06),10384,11596,10.38,11.59,94587,91047,86101,78588,89.2,21.57,16.69,8.26,3.29,0.96,,23.45,42586
26,Century Commercial Bank Ltd.,2078(06),10685,11870,10.45,11.61,96708,95041,87212,86332,89.25,21.19,18.81,8.09,2.74,1.88,,24.7,44385
27,Sanima Bank Ltd.,2078(06),13844,20541,9.06,13.45,143944,139409,132136,126748,85.63,23.63,18.53,7.45,2.69,0.11,,26.87,92670
,Sub Total,2078(06),422573,551169,10.08,13.14,3700927,3550986,3463743,3311818,89.05,22.38,18.14,7.72,3.1,1.05,,26.31,2041465
,Grand Total,2078(06),500519,645153,10.41,13.42,4270463,4118857,3993510,3841073,88.78,22.85,19.13,7.57,3.2,1.23,,29.96,2427875
1,Nepal Bank Ltd.,2078(09),23338,29032,12.37,15.39,183342,182985,172912,170194,91.49,23.72,19.91,7.08,2.91,1.91,,61.51,143352
2,Rastriya Banijya Bank Ltd.,2078(09),25791,31567,11.21,13.72,244515,244298,213892,213288,86.89,26.3,22.13,6.6,3.61,3.06,,37.62,171556
3,Agriculture Dev. Bank Ltd.,2078(09),30512,35789,13.9,16.3,157684,157528,175014,175014,96.19,23.12,19.08,7.53,4.38,2.08,,70.68,98101
,Sub Total,2078(09),79641,96387,12.48,15.1,585541,584810,561818,558497,91.04,24.64,20.61,7.07,3.64,2.4,,54.82,413009
4,Nabil Bank Ltd.,2078(09),29267,36986,10.75,13.58,235276,223240,221332,212899,89.24,22.18,18.47,7.76,3.44,1.11,,25.89,122517
5,Nepal Investment Bank Ltd.,2078(09),27274,36123,10.92,14.47,174975,165938,178513,164870,95.17,20.78,16.82,7.47,2.69,2.06,,22.83,100892
6,Standard Chartered Bank Nepal Ltd.,2078(09),15846,17583,14.38,15.95,94619,72120,87523,84798,87.77,25.63,19.09,6.83,2.66,0.44,,20.18,50448
7,Himalayan Bank Ltd.,2078(09),18896,23292,9.41,11.6,167858,155475,159142,145899,91.53,18.86,21.84,8.94,2.28,0.72,,27.45,86258
8,Nepal SBI Bank Ltd.,2078(09),14840,18805,10.48,13.28,112867,111649,113340,107889,93.96,18.55,21.27,8.95,3.13,0.14,,26.06,61891
9,Nepal Bangladesh Bank Ltd.,2078(09),14745,18050,11.24,13.75,82225,81701,77531,76708,89.68,27.66,24.8,8.69,2.38,1.74,,32.21,35968
10,Everest Bank Ltd.,2078(09),18048,20156,10.85,12.12,165918,163213,152381,148731,88.42,30.06,25.63,7.61,2.7,0.26,,23.77,104767
11,Bank of Kathmandu Ltd.,2078(09),14816,17785,11.17,13.41,103687,102628,108219,106370,92.53,21.62,19.3,8.45,2.95,1.6,,25.78,57001
12,Nepal Credit and Commerce Bank Ltd.,2078(09),14161,18815,9.36,12.43,126091,124327,118910,116728,92.95,21.55,15.19,9.15,2.31,1.33,,27.05,54317
13,NIC Asia Bank Ltd.,2078(09),20436,32553,7.8,12.43,299338,298122,273458,273458,88.98,18.92,15.62,9.44,3.61,0.47,,23.85,169716
14,Machhapuchhre Bank Ltd.,2078(09),12786,19901,8.09,12.59,140062,135528,133529,129642,90.17,19.44,16.89,8.79,2.87,0.57,,26.8,88285
15,Kumari Bank Ltd.,2078(09),17245,22705,8.88,11.69,166614,163674,161738,155506,95.55,16.27,13.47,8.93,3.37,1.06,,21.68,82212
16,Laxmi Bank Ltd.,2078(09),13879,19893,8.51,12.2,131574,128166,129639,126213,92.08,19.01,12.04,8.74,2.88,0.83,,21.22,85760
17,Siddharth Bank Ltd.,2078(09),18355,27386,8.63,12.88,192831,190539,184618,180005,89.22,20.12,17.63,8.58,2.68,0.37,,27.59,112010
18,GlobalIME Bank Ltd.,2078(09),30958,39250,10.02,12.7,280630,277846,271026,259807,91.01,22.91,18.14,8.27,3.43,1.13,,28.51,171389
19,Citizens Bank International Ltd.,2078(09),17967,22004,11.07,13.56,143020,138773,132408,132408,91.74,20.91,15.54,9.08,3.11,1.87,,25.69,86381
20,Prime Commercial Bank Ltd.,2078(09),23847,26261,11.78,12.97,162630,162308,162343,161141,94.76,18.62,17.15,8.98,3.46,0.78,,27.7,72705
